wordpress_id,source_url,title,alt_text,caption,mime_type,published,modified
773,https://ai.colostate.edu/wp-content/uploads/sites/45/2026/08/onechatupdate6.15.26.png,onechatupdate6.15.26,NebulaOne OneChat Interface screenshot,,image/png,2026-08-14T09:26:47,2026-08-14T09:27:10
747,https://ai.colostate.edu/wp-content/uploads/sites/45/2026/06/email-header.png,email-header,CSU System nebulaOne Newsletter,,image/png,2026-06-18T20:13:27,2026-06-18T20:13:41
669,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/10/AI-Bot.png,AI-Bot,AI Bot Icon,,image/png,2025-10-20T11:54:18,2025-10-20T11:54:27
617,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/10/Student-FC.jpeg,Student FC,student using a laptop in a sunny environment.,,image/jpeg,2025-10-03T10:37:06,2025-10-03T10:37:24
589,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/image003.jpg,image003,"Closing keynote: Eyal Darmon, North America Higher Education Data and AI Lead, Accenture","<p>Closing keynote: Eyal Darmon, North America Higher Education Data and AI Lead, Accenture</p>",image/jpeg,2025-09-25T08:09:50,2025-09-25T08:11:14
484,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/Unknown.png,Unknown,City of Fort Collins: Gold Sponsor,<p>City of Fort Collins: Gold Sponsor</p>,image/png,2025-09-09T15:27:55,2025-09-09T15:28:19
473,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/Student-FC-1.jpeg,Student FC (1),Register now for the October 14 Event,<p>Register now for the October 14 Event</p>,image/jpeg,2025-09-04T14:04:11,2025-09-04T14:04:54
469,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/Screenshot-2025-09-04-at-12.27.20-PM-e1757003377172.png,Screenshot 2025-09-04 at 12.27.20 PM,"Beth Dann, Director, Classroom Experience Team, Microsoft","<p>Beth Dann, Director, Classroom Experience Team, Microsoft: Keynote</p>",image/png,2025-09-04T10:28:36,2025-09-04T10:29:03
463,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/Screenshot-2025-09-04-at-12.20.44-PM-e1757002948228.png,Screenshot 2025-09-04 at 12.20.44 PM,"Hether Danforth, VP US Education for Microsoft","<p>Hether Danforth, VP US Education for Microsoft: Keynote Speaker</p>",image/png,2025-09-04T10:21:00,2025-09-04T10:21:45
450,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/Screenshot-2025-09-03-at-9.34.23-AM-e1756907193151.png,Screenshot 2025-09-03 at 9.34.23 AM,,,image/png,2025-09-03T07:43:46,2025-09-03T07:46:39
448,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/Screenshot-2025-09-03-at-9.33.41-AM.png,Screenshot 2025-09-03 at 9.33.41 AM,VPIT Brandon Bernier,<p>VPIT Brandon Bernier: Keynote</p>,image/png,2025-09-03T07:34:46,2025-09-03T07:35:22
